сұрақ,жауап
"Терең теңіз құбыжығы жүз жылда бір рет кемеде тамақтанып, аштығын қандыру үшін судан көтеріледі. Үш жүз жыл ішінде ол 847 адамды жалмап қойды. Кемелер уақыт өте келе үлкенірек етіп жасалды, сондықтан әрбір жаңа кемеде алдыңғы кемеге қарағанда екі есе көп адам болды. Құбыжық алғашқы жүз жылда кемеде қанша адам жеді?"," S - бірінші жүз жылдық кемедегі адамдар саны болсын. Екінші жүз жылдық кемеде біріншісіне қарағанда екі есе көп адам болды, сондықтан онда 2S адам болды. Үшінші жүз жылдық кемеде екіншісіне қарағанда екі есе көп адам болды, сондықтан онда 2 * 2S = <<2*2=4>>4S адам болды. Барлық кемелерде S + 2S + 4S = 7S = 847 адам болды. Осылайша, құбыжық бірінші жүз жылда жеп қойған кемеде S = 847 / 7 = <<847/7=121>>121 адам болды. #### 121"
"Тобиас 95 доллар тұратын жаңа аяқ киім сатып алып жатыр. Ол соңғы үш айда ай сайын ақша жинап келеді. Ол айына 5 доллар жәрдемақы алады. Ол сондай-ақ көгалдарды шауып, кіреберіс жолдарды күрекпен тазалайды. Ол көгалдарды шауып, күрекпен тазалау үшін 15 доллар, ал күрекпен тазалау үшін 7 доллар алады. Аяқ киімді сатып алғаннан кейін, оның 15 доллары қайтарым ақшасы қалады. Егер ол 4 көгалдарды шапса, ол қанша кіреберіс жолын күрекпен тазалады?"," Ол барлығы 110 доллар үнемдеді, себебі 95 + 15 = <<95+15=110>>110 Ол өзінің жәрдемақысынан 15 доллар үнемдеді, себебі 3 x 5 = <<3*5=15>>15 Ол шөп шабудан 60 доллар тапты, себебі 4 x 15 = <<4*15=60>>60 Ол кіреберіс жолдарды күреп, 35 доллар тапты, себебі 110 - 60 - 15 = <<110-60-15=35>>35 Ол 5 кіреберіс жолды күреп, 35 / 7 = <<35/7=5>>5 #### 5"
" Рэндидің фермасында 60 манго ағашы бар. Сондай-ақ, оның манго ағаштарына қарағанда кокос ағаштарының саны екі есе аз 5-еуі бар. Рэндидің фермасында барлығы қанша ағаш бар?","Рэндидің манго ағаштарының жартысы 60/2 = <<60/2=30>>30 ағаш. Сонымен, Рэндидің 30 - 5 = <<30-5=25>>25 кокос ағашы бар. Сондықтан, Рэндидің фермасында 60 + 25 = <<60+25=85>>85 ағашы бар. #### 85"
" Джаспер кешкі асында шаркутери ұсынады. Ол 10 долларға 2 фунт чеддер ірімшігін, чеддер ірімшігінің жарты бағасына бір фунт кілегейлі ірімшікті және чеддер ірімшігінің бағасынан екі есе қымбат суық кесектерді сатып алады. Ол ингредиенттерге қанша ақша жұмсайды?", Бір фунт кілегейлі ірімшіктің құны $10 / 2 = $<<10/2=5>>5 болды. Бір қаптама суық кесектер $10 x 2 = $<<10*2=20>>20 болды. Джаспер ингредиенттерге $10 + $5 + $20 = $<<10+5+20=35>>35 жұмсады. #### 35
 Джой кітаптың 8 бетін 20 минутта оқи алады. Оған 120 бетті оқу үшін неше сағат кетеді?,"Бір сағатта 20 минуттан тұратын 3 жиынтық бар. Сонымен, Джой бір сағатта 8 x 3 = <<8*3=24>>24 бет оқи алады. Оған 120 бетті оқу үшін 120/24 = <<120/24=5>>5 сағат кетеді. #### 5"
" Джеймс медиа империясын құрады. Ол 2000 долларға фильм жасайды. Әрбір DVD дискісін жасау 6 доллар тұрады. Ол оны 2,5 есе қымбатқа сатады. Ол аптасына 5 күн бойы күніне 500 фильм сатады. Ол 20 аптада қанша пайда табады?"," Ол әрбір DVD дискісін 6*2,5=$<<6*2,5=15>>15-ке сатты. Сонымен, ол 15-6=$<<15-6=9>>9 пайда табады. Сонымен, ол күн сайын 9*500=$<<9*500=4500>>4500 пайда табады. Сонымен, ол 4500*5=$<<4500*5=22500>>22,500 табады. Ол 22,500*20=$<<22500*20=450000>>450,000 табады. Содан кейін фильмді жасау құнынан кейін оның пайдасы 450,000-2000=$<<450000-2000=448000>>448,000 #### 448000"
"Іскерлік мәміледен түскен пайда екі іскер серіктес Майк пен Джонсон арасында сәйкесінше 2:5 қатынасында бөлінеді. Егер Джонсон 2500 доллар алса, Майк өз үлесінің бір бөлігін 200 доллар тұратын көйлекке жұмсағаннан кейін қанша ақшасы қалады?"," Бұл қатынасқа сәйкес, Джонсон алған әрбір 5 бөлік үшін Майк 2 бөлік алады. Джонсон 2500 доллар алғандықтан, әрбір бөлік 2500 доллар/5 = $<<2500/5=500>>500 болады. Майк 2*500 доллар = $<<2*500=1000>>1000 алады. Көйлек сатып алғаннан кейін оның 1000-200 доллары = $<<1000-200=800>>800 доллары қалады #### 800"
" Жүк көлігінде 26 қызғылт бас киім, 15 жасыл бас киім және 24 сары бас киім бар. Егер Карл 4 қызғылт бас киім алып кетсе, ал Джон 6 қызғылт бас киім және шешіп алған қызғылт бас киімдер санынан екі есе көп жасыл бас киім алып кетсе, онда жүк көлігінде қалған бас киімдердің жалпы санын есептеңіз.","Егер 26 қызғылт бас киім болса және Карл 4 қызғылт бас киім алып кетсе, қалған қызғылт бас киімдер саны 26-4 = <<26-4=22>>22 Джон да 6 қызғылт бас киім алып кетті, жүк көлігінде 22-6 = <<22-6=16>>16 қызғылт бас киім қалды. Егер Джон да қызғылт бас киімдерден екі есе көп жасыл бас киім алса, ол 2*6 = <<6*2=12>>12 жасыл бас киім алды. Жүк көлігінде қалған жасыл бас киімдердің жалпы саны 15-12 = <<15-12=3>>3 Жүк көлігінде, кейбіреулері алынып тасталғаннан кейін, 3 жасыл бас киім + 16 қызғылт бас киім = <<3+16=19>>19 бас киім қалды. Барлығы 19 жасыл және қызғылт бас киім + 24 сары бас киім = <<19+24=43>>43 бас киім жүк көлігінде қалды #### 43"
" Роке жұмысқа жаяу бару үшін екі сағат, ал велосипедпен бару үшін бір сағат уақыт кетеді. Роке жұмысқа аптасына үш рет жаяу барып-қайтады және жұмыстан аптасына екі рет велосипедпен барып-қайтады. Ол жұмысқа жаяу және велосипедпен барып-қайту үшін аптасына барлығы қанша сағат жұмсайды?","Роке жұмысқа жаяу бару үшін аптасына 2*3 = <<2*3=6>>6 сағат жұмсайды. Роке жұмысқа жаяу бару үшін аптасына 6*2 = <<6*2=12>>12 сағат жұмсайды. Роке жұмысқа велосипедпен бару үшін аптасына 1*2 = <<1*2=2>>2 сағат жұмсайды. Роке жұмысқа велосипедпен бару үшін аптасына 2 сағат жұмсайды. Роке жұмысқа велосипедпен бару үшін аптасына 2*2 = <<2*2=4>>4 сағат жұмсайды. Барлығы, Роке жұмысқа барып-қайту үшін аптасына 12+4 = <<12+4=16>>16 сағат жұмсайды. #### 16"
" Тим 5 жұмыс күнінің әрқайсысында велосипедімен жұмысқа барып-келумен жүреді. Оның жұмысы 20 миль қашықтықта орналасқан. Ол сондай-ақ демалыс күндері 200 миль велосипед тебуге шығады. Егер ол сағатына 25 миль жылдамдықпен велосипед тебе алса, аптасына қанша уақыт велосипед тебеді?"," Ол жұмысқа күніне 20*2=<<20*2=40>>40 миль велосипедпен жүреді. Демек, ол жұмысқа күніне 40*5=<<40*5=200>>200 миль велосипедпен жүреді. Бұл оның жұмысқа күніне барлығы 200+200=<<200+200=400>>400 миль велосипедпен жүреді дегенді білдіреді. Демек, ол жұмысқа күніне барлығы 400/25=<<400/25=16>>16 сағат велосипедпен жүреді. #### 16"
"Белла пошта бөлімшесінен маркалар сатып алды. Кейбір маркаларда қар ұшқыны, кейбіреулерінде жүк көлігі, ал кейбіреулерінде раушан гүлі бейнеленген. Белла 11 қар ұшқыны маркасын сатып алды. Ол қар ұшқыны маркаларына қарағанда жүк көлігі маркаларына қарағанда 9 маркаға артық және жүк көлігі маркаларына қарағанда 13 раушан гүліне аз сатып алды. Белла барлығы қанша марка сатып алды?", Жүк көлігінің мөрлерінің саны 11 + 9 = <<11+9=20>>20. Раушан гүлінің мөрлерінің саны 20 − 13 = <<20-13=7>>7. Белла барлығы 11 + 20 + 7 = <<11+20+7=38>>38 мөр сатып алды. #### 38
" Әрбір құс күніне 12 қоңыз, әрбір жылан күніне 3 құс, ал әрбір ягуар күніне 5 жылан жейді. Егер орманда 6 ягуар болса, күніне қанша қоңыз жейді?",Алдымен жеген жыландардың жалпы санын табыңыз: 5 жылан/ягуар * 6 ягуар = <<5*6=30>>30 жылан Содан кейін күніне жейтін құстардың жалпы санын табыңыз: 30 жылан * 3 құс/жылан = <<30*3=90>>90 жылан Содан кейін күніне жейтін қоңыздардың жалпы санын табу үшін жыландар санын бір жыланға келетін қоңыздар санына көбейтіңіз: 90 жылан * 12 қоңыз/жылан = <<90*12=1080>>1080 қоңыз #### 1080
" Самантаның тегі Боббидің тегімен салыстырғанда үш әріпке аз. Егер Бобби тегінен екі әріпті алып тастаса, оның тегі Джеймидің тегінен екі есе ұзын болар еді. Джеймидің толық аты-жөні - Джейми Грей. Самантаның тегі қанша әріптен тұрады?"," Джеймидің тегі 4 әріптен тұрады, сондықтан Боббидің аты 4*2 +2 = <<4*2+2=10>>10 әріптен тұрады. Самантаның тегі Боббидікінен 3 әріпке қысқа, сондықтан Самантаның тегі 10 - 3 = <<10-3=7>>7 әріптен тұрады. #### 7"
"Энннің сүйікті дүкені жазғы жеңілдік болды. Ол 75 долларға әрқайсысын 7 доллардан 5 жұп шорты және әрқайсысын 10 доллардан 2 жұп аяқ киім сатып алды. Сондай-ақ, ол бірдей бағамен 4 жейде сатып алды. Әрбір жейде қанша тұрды?"," Ол әрқайсысын 7 доллардан 5 шорты сатып алды, сондықтан 5*7=$<<5*7=35>>35 Ол әрқайсысын 10 доллардан 2 жұп аяқ киім сатып алды, сондықтан 2*10=$<<2*10=20>>20 Шорты мен аяқ киімнің құны 35+20 = $<<35+20=55>>55 Біз оның барлығы 75 доллар жұмсағанын және шорты мен аяқ киімнің құны 55 доллар екенін білеміз, бұл айырмашылықты 75-55 долларға қалдырды = $<<75-55=20>>20 Ол барлығы 20 долларға 4 жейде сатып алды, сондықтан 20/4 = $5 #### 5"
" Мэри сенбі күні азық-түлік сатып алады. Ол тек белгілі бір дүкеннен ғана сауда жасайды, онда оған 100 доллар несие беріледі, бұл келесі сауда сапарына дейін толық төленуі керек. Сол аптада ол толық несие лимитін жұмсап, сейсенбіде оның 15 долларын, ал бейсенбіде 23 долларын төледі. Мэри келесі сауда сапарына дейін қанша несие төлеуі керек?",Мэри осы уақытқа дейін несиенің $15 +$23=$<<15+23=38>>38 сомасын қайтарды. Сондықтан ол әлі де $100-$38=$<<100-38=62>>62 төлеуі керек #### 62
 Ральф теннис добын лақтыратын теннис добын ату машинасымен теннис ойнауға жаттығады. Ол машинаға алдымен 175 теннис добын салады. Алғашқы 100 доптың 2/5 бөлігін ол соғып үлгереді. Келесі 75 теннис добының 1/3 бөлігін ол соғып үлгереді. Барлық теннис добының қаншасын Ральф соғып үлгермеді?," Алғашқы 100 доптың 2/5 бөлігін Ральф соғып, 3/5 бөлігін ұра алмады, 3/5 x 100 = 60 теннис добын Ральф соқты. Келесі 75 доптың 1/3 бөлігін соғып, 2/3 бөлігін ұра алмады, 2/3 x 75 = Ральф соқпаған 50 теннис добы. Қосылғанда, Ральф 60 + 50 = <<60+50=110>>110 теннис добын соғып, Ральф соқпаған. #### 110"
"Джек шөлді аралда қалып қойды. Ол балығына дәмдеуіш ретінде тұз алғысы келеді. Ол ескі шелекке 2 литр теңіз суын жинайды. Егер судың 20% тұзы болса, барлық су буланып кеткенде Джек қанша мл тұз алады?"," Алдымен теңіз суының қанша литрінде тұз бар екенін табыңыз: 2 литр * 20% = <<2*20*.01=.4>>.4 литр. Содан кейін сол мөлшерді 1000 мл/литрге көбейтіп, Джек алатын тұздың мл санын табыңыз: .4 литр * 1000 мл/литр = <<.4*1000=400>>400 мл #### 400"
" Бреннан мектеп жобасын зерттеп жатқанда, интернеттен компьютеріне сілтеме жасау үшін файлдарды жүктеп алуға мәжбүр болды. 800 файлды жүктеп алғаннан кейін, ол олардың 70%-ын жойды, себебі олар көмектеспеді. Ол тағы 400 файлды жүктеп алды, бірақ олардың 3/5 бөлігі маңызды емес екенін тағы да түсінді. Екінші раундта жүктеп алған байланыссыз файлдарды жойғаннан кейін оның қолында қанша құнды файл қалды?","Бреннан бірінші раундта жүктеген құнды емес файлдар саны 70/100*800 = <<70/100*800=560>>560 файл. Бреннан бірінші раундта жүктеген құнды файлдар саны 800-560 = <<800-560=240>>240 Ол 400 жаңа файлды жүктеген кезде, 3/5*400= <<3/5*400=240>>240 пайдасыз файл болды, оларды ол қайтадан жойды. Екінші раундта жүктеген құнды файлдардың жалпы саны 400-240 = <<400-240=160>>160 Зерттеуін жазу үшін Бреннанның зерттеуін жазу үшін сілтеме жасайтын 160+240 = <<160+240=400>>400 пайдалы файлы болды. #### 400"
" Көшеде 5 үй бар, және алғашқы төрт үйдің әрқайсысында бақшада 3 гном бар. Егер көшеде барлығы 20 гном болса, бесінші үйде қанша гном бар?"," Алғашқы төрт үйде барлығы 4 үй бар * 3 гном = <<4*3=12>>12 гном. Демек, бесінші үйде барлығы 20 гном болды – 12 гном = <<20-12=8>>8 гном. #### 8"
"Снайдер ханым бұрын ай сайынғы табысының 40%-ын пәтер жалдау мен коммуналдық қызметтерге жұмсайтын. Жақында оның жалақысы 600 долларға өсті, сондықтан қазір оның пәтер жалдау мен коммуналдық қызметтері ай сайынғы табысының тек 25%-ын ғана құрайды. Оның бұрынғы ай сайынғы табысы қанша болды?"," Оның алдыңғы айлық табысы p болсын. Оның жалдау ақысы мен коммуналдық қызметтерінің құны p-ның 40%-ын құрады, бұл (40/100)*p = 2p/5. Оның табысы $600-ға өсті, сондықтан қазір p+$600. Оның жалдау ақысы мен коммуналдық қызметтерінің құны қазір (p+$600)-ның 25%-ын құрайды, бұл (25/100)*(p+$600) = (p+$600)/4. Жалдау ақысы мен коммуналдық қызметтер құнының екі өрнегін теңестіру: 2p/5 = (p+$600)/4. Теңдеудің екі жағын да 20-ға көбейту 8p = 5p+$3000 шығады. Екі жағынан 5p-ны азайтсақ, келесі шығады: 3p = $3000. Екі жағын да 3-ке бөлу p = $1000 шығады. #### 1000"
" Энн, Билл, Кейт және Дейл әрқайсысы 4 бөлікке кесілген жеке таба пиццаларын сатып алады. Егер Билл мен Дейл пиццаларының 50%-ын, ал Энн мен Кейт пиццаларының 75%-ын жесе, қанша пицца бөлігі желмей қалады?",Барлығы 4 x 4 = <<4*4=16>>16 пицца бөлігі бар. Билл мен Дейл 2 x 4 x 50% = <<2*4*50*.01=4>>4 бөлік жейді. Энн мен Кейт 2 x 4 x 75% = <<2*4*75*.01=6>>6 бөлік жейді. Төртеуі 4 + 6 = <<4+6=10>>10 бөлік жейді. 16 - 10 = <<16-10=6>>6 желмеген пицца бөлігі бар. #### 6
" Ноа - суретші. Ол суреттер салып, саябақта сатады. Ол үлкен картина үшін 60 доллар, ал кішкентай картина үшін 30 доллар алады. Өткен айда ол сегіз үлкен картина және төрт кішкентай картина сатты. Егер ол осы айда екі есе көп сатса, онда оның осы айдағы сатылымы қанша?"," Ной үлкен картиналар үшін $60/үлкен картина x 8 үлкен картина = $<<60*8=480>>480 табыс тапты. Сондай-ақ, ол шағын картиналар үшін $30/кіші картина x 4 кішкентай картина = $<<30*4=120>>120 табыс тапты. Оның өткен айдағы жалпы сатылымы $480 + $120 = $<<480+120=600>>600 болды. Сонымен, оның осы айдағы сатылымы $600 x 2 = $<<600*2=1200>>1200. #### 1200"
"Автокөлік көптеген бұрылыстары бар туннель арқылы жүріп келеді. Біраз уақыттан кейін, көлік барлығы 4 оңға бұрылуды қажет ететін сақина арқылы өтуі керек. 1-ші бұрылыстан кейін ол 5 метр жүріп өтеді. 2-ші бұрылыстан кейін ол 8 метр жүріп өтеді. 3-ші бұрылыстан кейін ол сәл әрі қарай жүріп өтеді және 4-ші бұрылыста бірден туннельден шығады. Егер көлік сақинаның айналасында барлығы 23 метр жүріп өткен болса, 3-ші бұрылыстан кейін ол қанша қашықтықты жүріп өтуі керек болды?"," Берілген мәліметтерден көлік 1-ші бұрылыста 5 метр + 2-ші бұрылыстан кейін 8 метр + 4-ші бұрылыстан кейін 0 метр = <<5+8+0=13>> сақинаның айналасында 13 метр жүріп өтті. Демек, ол барлығы 23 метр жүріп өткен болуы керек – 13 есептелген метр = 3-ші бұрылыстан кейін 10 метр. #### 10"
"Пиццаны басқа ингредиенттермен бірге жасау үшін Кимберге 10 кесе су, 16 кесе ұн және кесе ұн санынан 1/2 есе көп шай қасық тұз қажет. Пиццаны дайындау үшін оған қанша кесе су, ұн және шай қасық тұз қажет екенін есептеңіз."," Пиццаны дайындау үшін Кимберге ұн кеселерінің санынан екі есе көп шай қасық тұз қажет, яғни оған 1/2*16 = <<16*1/2=8>>8 шай қасық тұз қажет. Оған қажетті ұн кеселері мен тұз шай қасықтарының жалпы саны 8+16 = <<8+16=24>>24 Оған сондай-ақ 10 кесе су қажет, яғни оған қажетті су кеселері мен ұн шай қасықтарының жалпы саны 24+10 = <<24+10=34>>34 #### 34"
" Сэм мырза белгілі бір соманы екі ұлы Кен мен Тониге бөлді. Егер Кен 1750 доллар алса, ал Тони Кеннен екі есе көп алса, ақша қаншаға бөлінді?","Тони екі рет 1750 доллар алды, бұл 2*1750 доллар = $<<2*1750=3500>>3500. Бөлісілген жалпы сома $1750+3500 доллар = $<<1750+3500=5250>>5250 болды #### 5250"
" Санчес мырза 5-сынып оқушыларының 40%-ы қорытынды бағаны В-дан төмен алғанын анықтады. Егер оның 5-сыныпта 60 оқушысы болса, оның қанша оқушысы В және одан жоғары қорытынды баға алған?"," Оның оқушыларының 40%-ы «В»-дан төмен баға алғандықтан, 100% - 40% = Санчес мырзаның оқушыларының 60%-ы «В» және одан жоғары баға алды. Осылайша, 60 x 60/100 = <<60*60/100=36>>36 оқушы қорытынды бағаларында «В» және одан жоғары баға алды. #### 36"
" Лиза, Джек және Томми апта бойы көлік жуудан 60 доллар тапты. Дегенмен, 60 доллардың жартысын Лиза тапты. Томми Лизаның тапқанының жартысын тапты. Лиза Томмиден қанша көп ақша тапты?", Лиза $60 * 1/2 = $<<60*1/2=30>>30 тапты. Томми $30 * 1/2 = $<<30*1/2=15>>15 тапты. Лиза Томмиден $30 - $15 = $<<30-15=15>>15 артық тапты. #### 15
"Бес дос фаст-фуд желісінде тамақтанып, келесі тағамдарға тапсырыс береді: әрқайсысы 3 доллар тұратын 5 гамбургер; 1,20 доллар тұратын 4 картоп фриі; әрқайсысы 0,5 доллар тұратын 5 кесе газдалған сусын; және 2,7 доллар тұратын 1 тәрелке спагетти. Егер олар есепшотты тең бөлсе, әрқайсысы қанша төлейді?"," 5 дана гамбургердің құны $3 x 5 = $<<3*5=15>>15. 4 жиынтық картоп фриінің құны $1.20 x 4 = $<<1.20*4=4.80>>4.80. 5 кесе газдалған сусынның құны $0.5 x 5 = $<<0.5*5=2.50>>2.50. Сонымен, олардың жалпы шоты $15 + $4.80 + $2.50 + $2.7 = $<<15+4.8+2.5+2.7=25>>25. Демек, бес достың әрқайсысы $25/5 = $<<25/5=5>>5 үлес қосады. #### 5"
 Артемида кешке шай дайындап жатыр. Ол анасының 8 унция шай ішетінін және бір унция шай пайдаланатынын біледі. Ол кешке де осы қатынасты пайдаланады. Кеште 12 адам бар және олардың әрқайсысы 6 унция шай алғысы келеді. Оған қанша унция шай қажет?,"Ол 72 унция су дайындап жатыр, себебі 12 x 6 = <<12*6=72>>72 Оған 9 унция шай қажет, себебі 72 / 8 = <<72/8=9>>9 #### 9"
" Анна әр үйден 14 дана кәмпит алатын аудандық бөлімшеде тәттілер сатып алады. Оның ағасы Билли көрші аудандық бөлімшеде тәттілер сатып алады, әр үйден 11 дана кәмпит алады. Егер бірінші аудандық бөлімшеде 60 үй, ал екінші аудандық бөлімшеде 75 үй болса, Анна тағы қанша кәмпит алады?"," Алдымен Анна алған кәмпиттердің жалпы санын табыңыз: 14 дана/үй * 60 үй = 840 дана. Содан кейін Билли алған кәмпиттердің жалпы санын табыңыз: 11 дана/үй * 75 үй = <<11*75=825>>825 дана. Содан кейін Анна алған саннан Билли алған даналардың санын азайтып, айырмашылығын табыңыз: 840 дана - 825 дана = <<840-825=15>>15 дана #### 15"
Концерт билетінің құны 40 доллар. Бенсон мырза 12 билет сатып алды және 10-нан асатын әрбір билет үшін 5% жеңілдік алды. Бенсон мырза барлығы қанша төледі?," Бенсон мырза 12 - 10 = <<12-10=2>>2 билеттің әрқайсысына 5% жеңілдік алды. Сонымен, бұл екі билеттің әрқайсысында $40 x 5/100 = $<<40*5/100=2>>2 жеңілдік болды. Демек, әр билеттің құны $40 - $2 = $<<40-2=38>>38 болды. Осылайша, екі жеңілдік билеттің құны $38 x 2 = $<<38*2=76>>76 құрайды. Ал қалған он билеттің құны $40 x 10 = $<<40*10=400>>400 құрайды. Демек, Бенсон мырза барлығы $400 + $76 = $<<400+76=476>>476 төледі. #### 476"
